Question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation
"在 p5.js 中，哪一個函式只會在程式開始時執行一次？","draw()","setup()","preload()","mousePressed()",B,"`setup()` 函式是 p5.js 的進入點之一，它在程式啟動時僅執行一次，通常用於設定初始環境，例如畫布大小、顏色模式等。"
"哪一個函式可以用來設定畫布的背景顏色？","background()","fill()","stroke()","color()",A,"`background()` 函式用於設定畫布的背景色。它可以接受多種顏色格式，例如 RGB、HSB 或色碼。"
"在 p5.js 中，`rect(x, y, w, h)` 函式是用來繪製什麼圖形？","圓形","橢圓形","矩形","線條",C,"`rect()` 函式用於在畫布上繪製一個矩形，其參數分別代表 x 座標、y 座標、寬度和高度。"
"若要讓繪製的圖形沒有外框，應該使用哪個函式？","noFill()","noStroke()","noBorder()","noShape()",B,"`noStroke()` 函式會停用圖形的外框繪製。相對地，`noFill()` 會停用圖形的填色。"
"在 p5.js 中，`mouseX` 和 `mouseY` 變數代表什麼？","畫布的中心點","滑鼠在畫布上的座標","鍵盤的按鍵碼","畫布的寬度和高度",B,"`mouseX` 和 `mouseY` 是 p5.js 內建的系統變數，它們會即時追蹤滑鼠游標在畫布上的 X 和 Y 座標。"
"`fill(255, 0, 0)` 會將顏色設定為？","藍色","綠色","紅色","黑色",C,"在預設的 RGB 顏色模式中，`fill(R, G, B)` 的三個參數分別代表紅色、綠色和藍色的強度。`fill(255, 0, 0)` 表示紅色最強，其他為零，所以是紅色。"
"哪一個函式可以用來繪製文字到畫布上？","text()","write()","print()","drawText()",A,"`text()` 函式是 p5.js 中用來在畫布上顯示文字的主要函式，可以設定文字內容、位置、大小等屬性。"
"`createCanvas(800, 600)` 的作用是什麼？","建立一個 800x600 的按鈕","建立一個 800x600 的畫布","建立一個 800x600 的圖片","建立一個 800x600 的輸入框",B,"`createCanvas()` 是 `setup()` 函式中最常用到的函式之一，它會建立一個指定寬度和高度的繪圖畫布。"
"在 RGBA 顏色模式中，'A' 代表什麼？","角度 (Angle)","透明度 (Alpha)","振幅 (Amplitude)","平均值 (Average)",B,"在 RGBA 顏色中，A 代表 Alpha（透明度）。數值範圍通常是 0（完全透明）到 255（完全不透明）。"
"`ellipse(50, 50, 80, 80)` 會畫出什麼圖形？","一個正方形","一個圓形","一個橢圓形","一條線",B,"`ellipse(x, y, w, h)` 用於繪製橢圓。當寬度（w）和高度（h）相等時，它會畫出一個正圓形。"
"若要讓繪製的圖形沒有填色，應該使用哪個函式？","noFill()","noStroke()","noColor()","transparent()",A,"`noFill()` 函式會停用圖形的填色，使其變為透明。相對地，`noStroke()` 會移除外框。"
"在 p5.js 中，哪一個函式會重複不斷地執行，用來更新畫面？","setup()","loop()","draw()","update()",C,"`draw()` 函式會以預設的幀率（frame rate）重複執行，是 p5.js 動畫與互動的核心。"
"`strokeWeight(5)` 的作用是什麼？","設定線條顏色","設定線條粗細為 5","設定文字大小為 5","設定圖形透明度為 5",B,"`strokeWeight()` 函式用來設定後續繪製圖形外框或線條的粗細（寬度），單位是像素。"
"如何隱藏原生的滑鼠游標？","hideCursor()","noCursor()","removeCursor()","cursor(NONE)",B,"`noCursor()` 函式可以隱藏畫布上的預設滑鼠游標，方便開發者自訂游標樣式。"
"在 p5.js 中，哪一個函式可以用來讀取 CSV 檔案？","loadStrings()","loadJSON()","loadTable()","loadXML()",C,"`loadTable()` 函式專門用於讀取 CSV 或 TSV 格式的表格資料，並將其轉換為一個 p5.Table 物件，方便操作。"
